"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","playerid"
"Nick Margevicius","Mariners","2","3","0","10","7","41.1","7.84","3.05","1.31",".281","71.1%","37.3%","12.2%","89.2","4.57","4.35","4.75","0.6","20395"
"Merrill Kelly","Diamondbacks","3","2","0","5","5","31.1","8.33","1.44","1.44",".247","92.0%","45.6%","15.2%","88.5","2.59","3.99","3.95","0.6","11156"
"J.A. Happ","Yankees","2","2","0","9","9","49.1","7.66","2.74","1.46",".223","81.3%","44.4%","16.7%","88.1","3.47","4.57","4.34","0.6","7410"
"Matt Wisler","Twins","0","1","1","18","4","25.1","12.43","4.97","0.71",".241","99.3%","23.6%","5.7%","86.3","1.07","3.35","4.99","0.6","12804"
"Daniel Norris","Tigers","3","1","0","14","1","27.2","9.11","2.28","0.65",".291","75.3%","55.7%","9.5%","90.6","3.25","2.87","3.39","0.6","13475"
"Jack Flaherty","Cardinals","4","3","0","9","9","40.1","10.93","3.57","1.34",".281","68.8%","42.6%","23.1%","87.7","4.91","4.11","3.42","0.6","17479"
"Jaime Barria","Angels","1","0","0","7","5","32.1","7.52","2.51","0.84",".261","73.2%","34.0%","7.1%","88.9","3.62","3.66","4.95","0.6","18356"
"Matt Foster","White Sox","6","1","0","23","2","28.2","9.73","2.83","0.63",".209","76.6%","35.8%","7.1%","87.2","2.20","2.88","3.85","0.6","19647"
"Triston McKenzie","Indians","2","1","0","8","6","33.1","11.34","2.43","1.62",".217","84.1%","40.0%","17.1%","86.0","3.24","3.91","3.60","0.6","18000"
"Brett Anderson","Brewers","4","4","0","10","10","47.0","6.13","1.91","1.15",".293","71.9%","57.7%","14.6%","89.1","4.21","4.38","4.41","0.6","8223"
"Blake Snell","Rays","4","2","0","11","11","50.0","11.34","3.24","1.80",".286","89.1%","49.2%","29.4%","87.8","3.24","4.35","3.06","0.6","13543"
"Caleb Thielbar","Twins","2","1","0","17","0","20.0","9.90","4.05","0.00",".275","73.9%","26.5%","0.0%","85.1","2.25","2.34","4.56","0.6","10078"
"Chris Stratton","Pirates","2","1","0","27","0","30.0","11.70","3.90","0.90",".303","57.5%","46.8%","12.0%","89.7","3.90","3.19","3.50","0.6","13761"
"Alex Colome","White Sox","2","0","12","21","0","22.1","6.45","3.22","0.00",".200","86.4%","52.4%","0.0%","87.4","0.81","2.97","4.26","0.6","6661"
"Alex Cobb","Orioles","2","5","0","10","10","52.1","6.54","3.10","1.38",".275","74.0%","54.5%","22.2%","91.3","4.30","4.87","4.21","0.6","6562"
"Peter Fairbanks","Rays","6","3","0","27","2","26.2","13.16","4.73","0.68",".350","82.9%","46.8%","9.5%","89.8","2.70","3.04","3.58","0.6","17998"
"Danny Duffy","Royals","4","4","0","12","11","56.1","9.11","3.51","1.60",".285","69.8%","31.9%","13.7%","88.7","4.95","4.75","4.94","0.6","3542"
"Richard Rodriguez","Pirates","3","2","4","24","0","23.1","13.11","1.93","1.16",".245","78.7%","39.2%","15.0%","91.7","2.70","2.85","2.83","0.5","13549"
"Felix Pena","Angels","3","0","2","25","0","26.2","9.79","2.70","0.68",".333","72.3%","49.4%","9.1%","88.3","4.05","3.00","3.62","0.5","13403"
"Taylor Rogers","Twins","2","4","9","21","0","20.0","10.80","1.80","0.90",".400","60.3%","41.9%","11.1%","89.5","4.05","2.84","3.28","0.5","13449"
"Dylan Floro","Dodgers","3","0","0","25","0","24.1","7.03","1.48","0.37",".297","78.1%","56.0%","6.7%","84.6","2.59","2.66","3.31","0.5","13394"
"Adbert Alzolay","Cubs","1","1","0","6","4","21.1","12.23","5.48","0.42",".256","73.2%","43.2%","7.7%","89.2","2.95","3.05","3.62","0.5","17859"
"Tommy Hunter","Phillies","0","1","1","24","0","24.2","9.12","2.19","0.73",".303","70.9%","43.1%","10.5%","90.6","4.01","3.31","3.74","0.5","1157"
"Codi Heuer","White Sox","3","0","1","21","0","23.2","9.51","3.42","0.38",".193","86.7%","50.0%","5.9%","88.1","1.52","2.77","3.60","0.5","23293"
"Yency Almonte","Rockies","3","0","1","24","0","27.2","7.48","1.95","0.65",".291","67.3%","56.3%","8.3%","87.6","2.93","3.44","4.18","0.5","15068"
"Joakim Soria","Athletics","2","2","2","22","0","22.1","9.67","4.03","0.40",".279","75.2%","27.4%","3.1%","88.0","2.82","2.97","5.15","0.5","6941"
"Wander Suero","Nationals","2","0","0","22","0","23.2","10.65","3.80","0.38",".317","72.8%","36.7%","4.3%","88.8","3.80","3.02","4.35","0.5","15855"
"Walker Buehler","Dodgers","1","0","0","8","8","36.2","10.31","2.70","1.72",".198","68.7%","35.5%","17.9%","90.0","3.44","4.36","3.93","0.5","19374"
"Jake Arrieta","Phillies","4","4","0","9","9","44.1","6.50","3.25","1.22",".333","72.1%","51.8%","17.6%","88.9","5.08","4.66","4.38","0.5","4153"
"Kenley Jansen","Dodgers","3","1","11","27","0","24.1","12.21","3.33","0.74",".309","70.9%","25.0%","7.1%","82.7","3.33","3.03","4.18","0.5","3096"
"Austin Gomber","Cardinals","1","1","0","14","4","29.0","8.38","4.66","0.31",".243","86.7%","48.6%","4.0%","90.0","1.86","3.54","4.75","0.5","16561"
"Ryan Brasier","Red Sox","1","0","0","25","1","25.0","10.80","3.96","0.72",".328","71.4%","37.7%","8.0%","91.1","3.96","3.15","4.04","0.5","5615"
"Daniel Bard","Rockies","4","2","6","23","0","24.2","9.85","3.65","0.73",".313","77.6%","48.5%","8.7%","90.1","3.65","3.64","4.38","0.5","7115"
"Tommy Milone","- - -","1","4","0","9","9","39.0","9.23","1.38","2.08",".371","57.5%","32.8%","17.3%","89.2","6.69","4.76","4.33","0.5","7608"
"Jake Diekman","Athletics","2","0","0","21","0","21.1","13.08","5.06","0.42",".179","96.9%","61.5%","7.1%","86.0","0.42","2.72","3.38","0.5","5003"
"Luke Weaver","Diamondbacks","1","9","0","12","12","52.0","9.52","3.12","1.73",".349","63.2%","32.3%","12.8%","89.8","6.58","4.67","5.06","0.5","16918"
"Aaron Slegers","Rays","0","0","2","11","1","26.0","6.58","1.73","0.35",".230","63.6%","54.1%","5.3%","86.1","3.46","3.04","3.95","0.5","15231"
"David Peterson","Mets","6","2","0","10","9","49.2","7.25","4.35","0.91",".233","76.8%","44.4%","10.2%","87.4","3.44","4.52","5.11","0.5","20302"
"Kris Bubic","Royals","1","6","0","10","10","50.0","8.82","3.96","1.44",".312","72.5%","46.6%","17.0%","87.1","4.32","4.75","4.48","0.5","21455"
"Elieser Hernandez","Marlins","1","0","0","6","6","25.2","11.92","1.75","1.75",".267","85.7%","33.8%","17.2%","91.8","3.16","3.89","3.54","0.5","16933"
"Tyler Rogers","Giants","3","3","3","29","0","28.0","8.68","1.93","0.64",".345","65.4%","55.3%","10.5%","85.8","4.50","3.26","3.64","0.5","15541"
"Michael Lorenzen","Reds","3","1","0","18","2","33.2","9.36","4.54","0.80",".297","70.8%","48.4%","9.4%","84.4","4.28","3.87","4.55","0.5","14843"
"Blake Treinen","Dodgers","3","3","1","27","0","25.2","7.71","2.81","0.35",".297","57.0%","64.0%","9.1%","84.8","3.86","3.15","3.47","0.5","12572"
"Johnny Cueto","Giants","2","3","0","12","12","63.1","7.96","3.69","1.28",".284","63.3%","40.8%","13.8%","87.9","5.40","4.64","4.78","0.5","6893"
"Cristian Javier","Astros","5","2","0","12","10","54.1","8.94","2.98","1.82",".194","86.2%","29.0%","15.3%","86.9","3.48","4.94","4.86","0.5","17606"
"Anthony Bass","Blue Jays","2","3","7","26","0","25.2","7.36","3.16","0.70",".221","56.0%","62.3%","8.7%","89.3","3.51","3.62","4.33","0.5","7982"
"Frankie Montas","Athletics","3","5","0","11","11","53.0","10.19","3.91","1.70",".329","68.7%","36.8%","17.5%","88.1","5.60","4.74","4.36","0.5","14309"
"Kyle Cody","Rangers","1","1","0","8","5","22.2","7.15","5.16","0.40",".233","86.5%","47.5%","4.2%","88.9","1.59","3.90","5.37","0.5","19686"
"Jon Gray","Rockies","2","4","0","8","8","39.0","5.08","2.54","1.38",".293","54.4%","36.7%","11.3%","90.3","6.69","5.06","5.68","0.5","14916"
"Anthony Misiewicz","Mariners","0","2","0","21","0","20.0","11.25","2.70","0.90",".367","74.4%","28.0%","10.0%","89.5","4.05","3.04","3.67","0.5","18152"
"Kyle Zimmer","Royals","1","0","0","16","1","23.0","10.17","3.91","0.00",".259","84.0%","50.0%","0.0%","88.0","1.57","2.37","3.62","0.4","14169"
"Cal Quantrill","- - -","2","0","1","18","3","32.0","8.72","2.25","1.13",".303","82.4%","44.4%","12.1%","85.5","2.25","3.91","4.27","0.4","19312"
"Josh Tomlin","Braves","2","2","0","17","5","39.2","8.17","1.82","1.36",".304","66.5%","38.5%","12.5%","88.9","4.76","4.02","4.39","0.4","9388"
"A.J. Minter","Braves","1","1","0","22","0","21.2","9.97","3.74","0.42",".275","92.9%","49.0%","5.9%","84.5","0.83","2.82","3.74","0.4","18655"
"Adrian Houser","Brewers","1","6","0","12","11","56.0","7.07","3.38","1.29",".325","61.2%","58.5%","24.2%","86.3","5.30","4.82","4.10","0.4","12718"
"Trevor May","Twins","1","0","2","24","0","23.1","14.66","2.70","1.93",".326","80.0%","25.5%","21.7%","91.1","3.86","3.62","2.74","0.4","6398"
"Dustin May","Dodgers","3","1","0","12","10","56.0","7.07","2.57","1.45",".234","89.1%","54.7%","21.4%","87.9","2.57","4.62","3.98","0.4","19716"
"J.B. Wendelken","Athletics","1","1","0","21","0","25.0","11.16","3.96","0.72",".242","79.4%","46.0%","8.0%","86.0","1.80","3.07","3.96","0.4","14506"
"Bryan Garcia","Tigers","2","1","4","26","0","21.2","4.98","4.15","0.00",".257","79.3%","43.5%","0.0%","86.4","1.66","3.61","5.74","0.4","19457"
"Martin Perez","Red Sox","3","5","0","12","12","62.0","6.68","4.06","1.16",".266","70.9%","38.5%","12.5%","86.3","4.50","4.88","5.20","0.4","6902"
"Stefan Crichton","Diamondbacks","2","2","5","26","0","26.0","7.96","3.12","0.35",".292","83.3%","47.9%","4.5%","89.0","2.42","3.42","4.55","0.4","16058"
"Lucas Sims","Reds","3","0","0","20","0","25.2","11.92","3.86","1.05",".192","74.6%","41.8%","12.0%","87.3","2.45","3.70","4.06","0.4","13470"
"Travis Lakins","Orioles","3","2","1","22","0","25.2","8.77","4.56","0.70",".311","78.0%","38.2%","9.1%","90.0","2.81","4.01","4.65","0.4","18600"
"Trevor Rogers","Marlins","1","2","0","7","7","28.0","12.54","4.18","1.61",".380","67.5%","47.4%","20.8%","87.3","6.11","4.33","3.67","0.4","22286"
"Dakota Hudson","Cardinals","3","2","0","8","8","39.0","7.15","3.46","1.15",".192","81.8%","56.7%","15.6%","89.1","2.77","4.50","4.41","0.4","19206"
"Tanner Scott","Orioles","0","0","1","25","0","20.2","10.02","4.35","0.44",".224","84.7%","58.0%","8.3%","85.1","1.31","3.48","3.97","0.4","17586"
"Trevor Cahill","Giants","1","2","0","11","6","25.0","11.16","5.04","1.08",".232","79.1%","33.3%","12.5%","87.5","3.24","4.19","4.48","0.4","6249"
"John Curtiss","Rays","3","0","2","17","3","25.0","9.00","1.08","1.08",".273","87.2%","42.0%","13.0%","92.0","1.80","3.35","3.57","0.4","16128"
"Kolby Allard","Rangers","0","6","0","11","8","33.2","8.55","5.35","1.07",".284","49.6%","32.7%","8.5%","89.1","7.75","4.71","5.85","0.4","18694"
"Scott Barlow","Royals","2","1","2","32","0","30.0","11.70","2.70","1.20",".324","74.1%","47.3%","16.0%","86.8","4.20","3.42","3.30","0.4","14993"
"Josh Staumont","Royals","2","1","0","26","0","25.2","12.97","5.61","0.70",".333","85.6%","28.6%","6.9%","94.4","2.45","3.54","4.71","0.4","18335"
"Seth Lugo","Mets","3","4","3","16","7","36.2","11.54","2.45","1.96",".344","73.5%","48.5%","29.6%","90.0","5.15","4.45","3.03","0.4","12447"
"Chris Paddack","Padres","4","5","0","12","12","59.0","8.85","1.83","2.14",".289","75.4%","47.1%","25.0%","90.9","4.73","5.02","3.77","0.3","20099"
"Kyle Finnegan","Nationals","1","0","0","25","0","24.2","9.85","4.74","0.73",".297","77.6%","50.8%","11.1%","87.9","2.92","3.76","4.11","0.3","15009"
"Josh Fleming","Rays","5","0","0","7","5","32.1","6.96","1.95","1.39",".250","89.7%","63.5%","22.7%","86.0","2.78","4.40","3.70","0.3","20418"
"Shane Greene","Braves","1","0","0","28","0","27.2","6.83","2.93","0.65",".267","79.5%","42.7%","7.4%","87.9","2.60","3.81","4.75","0.3","10756"
"Enoli Paredes","Astros","3","3","0","22","0","20.2","8.71","4.79","0.44",".298","73.4%","43.9%","5.9%","89.4","3.05","3.63","4.58","0.3","20447"
"Brusdar Graterol","Dodgers","1","2","0","23","2","23.1","5.01","1.16","0.39",".250","66.4%","62.3%","6.7%","88.8","3.09","3.41","4.09","0.3","20367"
"Chris Mazza","Red Sox","1","2","0","9","6","30.0","8.70","4.50","0.90",".356","70.5%","33.3%","8.8%","86.4","4.80","4.26","5.14","0.3","14151"
"Ryan Tepera","Cubs","0","1","0","21","0","20.2","13.50","5.23","0.87",".349","77.2%","40.0%","18.2%","90.3","3.92","3.34","3.10","0.3","10291"
"Jose Urquidy","Astros","1","1","0","5","5","29.2","5.16","2.43","1.21",".209","86.6%","35.6%","10.8%","89.8","2.73","4.71","5.36","0.3","18413"
"Paul Fry","Orioles","1","0","0","22","0","22.0","11.86","3.68","1.23",".339","89.9%","57.6%","18.8%","88.6","2.45","3.69","3.32","0.3","15832"
"James Paxton","Yankees","1","1","0","5","5","20.1","11.51","3.10","1.77",".365","55.1%","32.1%","14.3%","90.7","6.64","4.37","4.47","0.3","11828"
"Thomas Hatch","Blue Jays","3","1","0","17","1","26.1","7.86","4.44","0.68",".232","72.8%","44.3%","7.7%","86.4","2.73","4.14","5.06","0.3","19264"
"Pierce Johnson","Padres","3","1","0","24","0","20.0","12.15","4.05","0.90",".310","80.2%","29.5%","11.1%","89.1","2.70","3.14","3.58","0.3","13435"
"Kyle Gibson","Rangers","2","6","0","12","12","67.1","7.75","4.01","1.60",".313","70.5%","51.5%","26.7%","88.2","5.35","5.39","4.36","0.3","10123"
"Jorge Alcala","Twins","2","1","0","16","0","24.0","10.13","3.00","1.13",".321","84.7%","37.9%","13.0%","86.7","2.63","3.57","3.79","0.3","19459"
"Craig Stammen","Padres","4","2","0","24","0","24.0","7.50","1.50","0.75",".325","56.3%","59.5%","13.3%","88.2","5.63","3.36","3.48","0.3","7274"
"Jorge Lopez","- - -","2","2","0","10","6","39.0","6.46","2.77","1.62",".315","56.6%","48.8%","17.5%","92.8","6.69","5.24","4.89","0.3","14527"
"Miguel Castro","- - -","2","2","1","26","0","24.2","13.86","4.74","1.46",".407","82.4%","50.8%","21.1%","91.0","4.01","3.92","3.30","0.3","15684"
"Jon Lester","Cubs","3","3","0","12","12","61.0","6.20","2.51","1.62",".276","71.4%","47.0%","15.1%","88.9","5.16","5.14","5.11","0.3","4930"
"A.J. Cole","Blue Jays","3","0","1","24","0","23.1","7.71","3.47","1.16",".254","79.8%","32.3%","9.7%","86.7","3.09","4.31","5.20","0.3","11467"
"Mark Melancon","Braves","2","1","11","23","0","22.2","5.56","2.78","0.40",".296","77.7%","59.4%","6.7%","88.9","2.78","3.72","4.42","0.3","4264"
"John Means","Orioles","2","4","0","10","10","43.2","8.66","1.44","2.47",".216","82.8%","43.9%","21.8%","88.2","4.53","5.60","4.45","0.3","16269"
"Tanner Rainey","Nationals","1","1","0","20","0","20.1","14.16","3.10","1.77",".129","96.2%","31.4%","25.0%","91.2","2.66","3.78","2.74","0.3","17610"
"Tyler Webb","Cardinals","1","1","1","21","0","21.2","7.89","2.91","0.83",".254","89.6%","40.0%","8.7%","85.7","2.08","3.61","4.45","0.3","14974"
"Matt Andriese","Angels","2","4","2","16","1","32.0","9.28","3.09","1.41",".211","61.5%","45.7%","16.7%","89.4","4.50","4.29","4.06","0.3","12022"
"Brooks Raley","- - -","0","1","1","21","0","20.0","12.15","2.70","1.35",".227","58.5%","39.1%","17.6%","81.8","4.95","3.94","3.63","0.2","10061"
"Gregory Soto","Tigers","0","1","2","27","0","23.0","11.35","5.09","0.78",".269","70.9%","53.7%","14.3%","91.3","4.30","3.76","3.80","0.2","19677"
"Jimmy Cordero","White Sox","1","2","0","30","0","26.2","7.43","3.04","0.68",".352","56.9%","49.4%","9.1%","84.5","6.08","3.87","4.48","0.2","15690"
"Tyler Kinley","Rockies","0","2","0","24","0","23.2","9.89","4.56","0.76",".208","51.6%","46.3%","9.5%","86.9","5.32","3.99","4.61","0.2","18297"
"Chad Green","Yankees","3","3","1","22","0","25.2","11.22","2.81","1.75",".145","57.1%","42.4%","17.9%","87.7","3.51","4.17","3.74","0.2","15552"
"Luis Cessa","Yankees","0","0","1","16","0","21.2","7.06","2.91","0.83",".269","70.2%","39.7%","7.4%","88.9","3.32","3.79","4.99","0.2","13345"
"Jeremy Jeffress","Cubs","4","1","8","22","0","23.1","6.56","4.63","0.39",".161","84.1%","54.4%","7.1%","89.9","1.54","4.09","4.69","0.2","9490"
"Aaron Loup","Rays","3","2","0","24","0","25.0","7.92","1.44","1.08",".219","75.8%","39.7%","15.0%","86.9","2.52","3.83","3.81","0.2","10343"
"Anibal Sanchez","Nationals","4","5","0","11","11","53.0","7.30","3.06","1.87",".347","67.5%","39.7%","15.7%","89.0","6.62","5.46","5.30","0.2","3284"
"Nik Turley","Pirates","0","3","1","25","0","21.2","8.31","4.57","0.42",".211","54.7%","33.3%","3.8%","89.1","4.98","3.88","5.60","0.2","5530"
"Alec Mills","Cubs","5","5","0","11","11","62.1","6.64","2.74","1.88",".233","77.1%","47.3%","21.3%","86.9","4.48","5.44","4.61","0.2","13834"
